,Accident Ref.,Borough,Easting,Northing,Vehicle Type
1786,0111CW11522,WESTMINSTER,528070,182020,01 Pedal Cycle
1794,0111CW11535,WESTMINSTER,527470,181820,01 Pedal Cycle
1801,0111CW11543,WESTMINSTER,530590,180850,01 Pedal Cycle
1804,0111CW11546,WESTMINSTER,526670,180820,01 Pedal Cycle
1823,0111CW11575,WESTMINSTER,527780,181910,01 Pedal Cycle
1824,0111CW11578,WESTMINSTER,530160,179790,01 Pedal Cycle
1827,0111CW11579,WESTMINSTER,529510,178270,01 Pedal Cycle
1829,0111CW11580,WESTMINSTER,530220,178970,01 Pedal Cycle
1831,0111CW11582,WESTMINSTER,528200,181050,01 Pedal Cycle
1843,0111CW11611,WESTMINSTER,527940,180860,01 Pedal Cycle
1852,0111CW11625,WESTMINSTER,529880,179690,01 Pedal Cycle
1855,0111CW11626,WESTMINSTER,529050,181230,01 Pedal Cycle
1860,0111CW11637,WESTMINSTER,528080,181200,01 Pedal Cycle
1873,0111CW11650,WESTMINSTER,529980,180670,01 Pedal Cycle
1876,0111CW11652,WESTMINSTER,524870,181880,01 Pedal Cycle
1879,0111CW11657,WESTMINSTER,529740,180490,01 Pedal Cycle
1883,0111CW11662,WESTMINSTER,529090,181810,01 Pedal Cycle
1884,0111CW11667,WESTMINSTER,528550,178480,01 Pedal Cycle
1887,0111CW11668,WESTMINSTER,526540,182980,01 Pedal Cycle
1889,0111CW11669,WESTMINSTER,527830,182270,01 Pedal Cycle
1891,0111CW11674,WESTMINSTER,527130,181630,01 Pedal Cycle
1893,0111CW11675,WESTMINSTER,529550,180000,01 Pedal Cycle
1894,0111CW11675,WESTMINSTER,529550,180000,01 Pedal Cycle
1898,0111CW11679,WESTMINSTER,526180,182130,01 Pedal Cycle
1919,0111CW11700,WESTMINSTER,529480,181630,01 Pedal Cycle
1920,0111CW11702,WESTMINSTER,528550,179790,01 Pedal Cycle
1924,0111CW11704,WESTMINSTER,526450,179630,01 Pedal Cycle
1931,0111CW11712,WESTMINSTER,528960,180260,01 Pedal Cycle
1940,0111CW11731,WESTMINSTER,526960,182710,01 Pedal Cycle
1942,0111CW11733,WESTMINSTER,529210,178830,01 Pedal Cycle
1944,0111CW11734,WESTMINSTER,529100,179770,01 Pedal Cycle
1955,0111CW11756,WESTMINSTER,529540,180660,01 Pedal Cycle
1960,0111CW11764,WESTMINSTER,527520,181850,01 Pedal Cycle
1968,0111CW11771,WESTMINSTER,530100,180190,01 Pedal Cycle
1973,0111CW11775,WESTMINSTER,530180,180340,01 Pedal Cycle
1975,0111CW11776,WESTMINSTER,528980,180820,01 Pedal Cycle
1981,0111CW11781,WESTMINSTER,528010,181150,01 Pedal Cycle
1982,0111CW11784,WESTMINSTER,526700,180760,01 Pedal Cycle
1991,0111CW11795,WESTMINSTER,527970,180740,01 Pedal Cycle
1997,0111CW11805,WESTMINSTER,525620,180810,01 Pedal Cycle
2005,0111CW11814,WESTMINSTER,525030,181600,01 Pedal Cycle
2006,0111CW11815,WESTMINSTER,527550,181030,01 Pedal Cycle
2016,0111CW11825,WESTMINSTER,530670,181000,01 Pedal Cycle
2017,0111CW11826,WESTMINSTER,527940,181400,01 Pedal Cycle
2019,0111CW11828,WESTMINSTER,529040,180890,01 Pedal Cycle
2023,0111CW11830,WESTMINSTER,527560,182600,01 Pedal Cycle
2026,0111CW11833,WESTMINSTER,526940,180810,01 Pedal Cycle
2029,0111CW11834,WESTMINSTER,529110,181000,01 Pedal Cycle
2035,0111CW11838,WESTMINSTER,530720,180630,01 Pedal Cycle
2040,0111CW11846,WESTMINSTER,525730,182230,01 Pedal Cycle
2045,0111CW11850,WESTMINSTER,527040,181710,01 Pedal Cycle
2060,0111CW11862,WESTMINSTER,527720,181750,01 Pedal Cycle
2064,0111CW11865,WESTMINSTER,526380,180680,01 Pedal Cycle
2070,0111CW11876,WESTMINSTER,530160,179660,01 Pedal Cycle
2080,0111CW11896,WESTMINSTER,529790,180400,01 Pedal Cycle
2082,0111CW11897,WESTMINSTER,531070,181090,01 Pedal Cycle
2087,0111CW11905,WESTMINSTER,529030,180330,01 Pedal Cycle
2095,0111CW11917,WESTMINSTER,528410,180880,01 Pedal Cycle
2101,0111CW11920,WESTMINSTER,528350,179860,01 Pedal Cycle
2109,0111CW11929,WESTMINSTER,527510,183250,01 Pedal Cycle
2115,0111CW11937,WESTMINSTER,530130,179670,01 Pedal Cycle
2120,0111CW11945,WESTMINSTER,527460,183370,01 Pedal Cycle
2122,0111CW11946,WESTMINSTER,530070,180270,01 Pedal Cycle
2132,0111CW11965,WESTMINSTER,527560,181700,01 Pedal Cycle
2134,0111CW11966,WESTMINSTER,529250,178800,01 Pedal Cycle
2144,0111CW11980,WESTMINSTER,527840,181710,01 Pedal Cycle
2146,0111CW11983,WESTMINSTER,524870,181900,01 Pedal Cycle
